  #|Befehl    |LV|Kz.|Passwort            |Anzeigetext fuer ?  |Zusaetzlicher Anzeigetext fuer H (Hilfe)        |B|S|C|A|b|1|2|3|4|5|s|c|V|Ports: (B=Batch/S=Sysop/C=CoSysop/A=Av/b=Bv/1-5=Gruppen/s=SuperUser/c=Console/V=Vereinsflag        
 --+----------+--+---+--------------------+--------------------+------------------------------------------------+-+-+-+-+-+-+-+-+-+-+-+-+-+---------------------------------------------------------------------------------------------------
015|LEV       |00|LEV|                    |         Levelinfo's|            Informationen ueber Level und Farben|1|0|0|0|0|0|0|0|0|0|0|0|0|JJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJ
015|LOESCHPROT|99|LOE|                    |Brett-OP-Loesch-Prot|Anzeige wer Sysop-Eintraege geloescht hat!Max100|1|1|0|0|0|1|1|1|1|1|1|0|1|JJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJ
015|MSGSND    |80|SND|                    |      SND-Text-Liste|          Liste der verfügbaren MSG -SNDxx-Texte|1|0|0|0|0|0|0|0|0|0|0|0|0|JJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJ
015|PORTRESET |80|X22|                    |    Port neu Starten|                                Port neu starten|1|0|0|0|0|0|0|1|0|0|0|0|0|JJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJ
015|PORTS     |00|POR|                    |  Rufnummern der Box|      Alle Rufnummern der Box mit Baudrate/Modem|1|0|0|0|0|0|0|0|0|0|0|0|0|JJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJ
015|PROT      |80|PRO|                    |      Protokoll-Menü| Alle Protokolle der Box in 4 Versionen aufrufen|1|0|0|0|0|0|0|1|0|0|0|0|0|JJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJ
015|REBOOT    |80|RES|                    |    System rebooten!|  Gesamtes Boxsystem rebooten! *** Vorsicht! ***|1|0|0|0|0|0|0|1|0|0|0|0|0|JJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJ
015|SND_PROT  |98|SND|                    |       SND Protokoll|                         SND Protokoll anzeigen.|1|1|0|0|0|0|0|0|0|1|0|0|1|JJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJ
015|SPY       |80|XX8|                    |    History von Port|      Nachsehen, welche Kommandos benutzt wurden|1|0|0|0|0|0|0|0|0|0|0|0|0|JJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJ
015|STARDATE  |00|ZEI|                    |STARDATE / STERNZEIT|     Zeitanzeigen inclusive Sternzeit (STARDATE)|1|0|0|0|0|0|0|0|0|0|0|0|0|JJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJ
015|STAT      |00|sta|                    |       Box-Statistik|                     Azeige der Mailboxstatistik|1|0|0|0|0|0|0|0|0|0|0|0|0|JJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJ
015|STERNZEIT |00|ZEI|                    |STARDATE / STERNZEIT|     Zeitanzeigen inclusive Sternzeit (STARDATE)|1|0|0|0|0|0|0|0|0|0|0|0|0|JJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJ
015|TRADEINFO |98|TRA|                    |Trading-Game II Info|           Tradimg-Game II / Sysop-Informationen|1|0|1|0|0|0|0|0|0|0|0|0|0|JJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJ
015|UT        |00|UTK|                    |        User Kneipen|             Info ueber Userkneipen der Gateway!|1|1|0|0|0|0|0|0|0|0|0|0|0|JJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJ
015|WARNUNG   |80|XX6|                    |       User verwaren|                    Einem anderen User verwarnen|1|0|0|0|0|0|0|0|0|0|0|0|0|JJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJ
015|WERBUNG   |90|WER|                    |Werbung An/Abstellen|                            Werbung AN/ABstellen|1|0|1|0|0|0|0|0|0|0|0|0|0|JJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJ
015|ZEI       |00|ZEI|                    | Zeit und Datum anz.|       Uhrzeit, Datum, Scannerzeit usw. anzeigen|1|0|0|0|0|0|0|0|0|0|0|0|0|JJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJ
015|ZEIT      |00|ZEI|                    | Zeit und Datum anz.|       Uhrzeit, Datum, Scannerzeit usw. anzeigen|1|0|0|0|0|0|0|0|0|0|0|0|0|JJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJ
016|KE        |10|***|                    |    Kennwort aendern|                 Kennwort fuer den Login aendern|1|0|0|0|0|0|0|0|0|0|0|0|0|JJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJ
016|PA        |10|***|                    |    Passwort aendern|                 Passwort fuer den Login aendern|1|0|0|0|0|0|0|0|0|0|0|0|0|JJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJ
017|ANSI      |00|***|                    |   Ansi ein bzw. aus|            Ansi-Steuerung umschalten (an / aus)|1|0|0|0|0|0|0|0|0|0|0|0|0|JJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJ
017|VT        |00|***|                    |         Ansi an/aus|                            Ansi an-/ausschalten|1|0|0|0|0|0|0|0|0|0|0|0|0|JJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJ
018|Z         |00|***|                    |       Zeilenzaehler|Zeilenzaehler neu einstellen            [zeilen]|1|0|0|0|0|0|0|0|0|0|0|0|0|JJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJ
018|ZEIL      |00|***|                    |       Zeilenzaehler|                    Zeilenzaehler neu einstellen|1|0|0|0|0|0|0|0|0|0|0|0|0|JJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJ
019|AN        |10|001|                    |  Anschrift anzeigen|Userdaten anzeigen (nur Statistik)    [username]|1|0|0|0|0|0|0|0|0|0|0|0|0|JJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJ
019|ST        |10|***|                    |Status User anzeigen|Anzeigen der Userdaten und Stati      [username]|1|0|0|0|0|0|0|0|0|0|0|0|0|JJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJ
020|CU        |00|***|                    |   Cursoreinstellung|   Cursortasteneinstellung (z.Zt. ohne Funktion)|1|0|0|0|0|0|0|0|0|0|0|0|0|JJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJ
021|UM        |00|***|                    |  Umlaute einstellen|            Umlaute (ae, oe, ue usw.) einstellen|1|0|0|0|0|0|0|0|0|0|0|0|0|JJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJ
022|TR        |00|***|                    |     Transferauswahl|               Uebertragungsprotokoll einstellen|1|0|0|0|0|0|0|0|0|0|0|0|0|JJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJ
023|JANEIN?   |99|***|                    |     Ja-Nein-Abfrage|                Batch-Befehl für Ja-Nein-Fragen!|0|1|0|0|0|0|0|0|0|0|0|0|0|JJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJ
023|NEINJA?   |99|NNN|                    |     Ja-Nein-Abfrage|                Batch-Befehl für Ja-Nein-Fragen!|0|0|0|0|0|0|0|0|0|0|0|0|0|JJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJ
024|BRI       |20|***|                    |     Brief schreiben|Persoehnliche Mitteilung schreiben    [username]|1|0|0|0|0|0|0|0|0|0|0|0|0|JJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJ
024|EBRI      |20|001|                    | Brief Empfangsbest.|Brief mit Empfangsbestätigung         [username]|1|0|0|0|0|0|0|0|0|0|0|0|0|JJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJ
024|EMAIL     |20|NET|                    |     eMail schreiben|      eMail versenden (Empfänger wird abgefragt)|1|0|0|0|0|0|0|0|0|0|0|0|0|JJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJ
024|MAIL      |20|NET|                    |     eMail schreiben|      eMail versenden (Empfänger wird abgefragt)|1|0|0|0|0|0|0|0|0|0|0|0|0|JJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJ
025|ACCESS    |80|2.A|                    |Zweitaccount anlegen|            Zweitaccount anlegen (nur fuer User)|1|0|0|0|0|0|0|1|0|0|0|0|0|JJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJ
025|ANT       |00|***|                    |  Userantrag stellen|            Userantrag stellen (nur fuer Gaeste)|1|0|0|0|0|0|0|0|0|0|0|0|0|JJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJ
025|EIN       |00|***|                    |  Eintragen als User|                 Userantrag stellen (nur Gaeste)|1|0|0|0|0|0|0|0|0|0|0|0|0|JJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJ
026|BE        |00|***|                    |  Bell-Signal an/aus|              Klingel-Signal an oder ausschalten|1|0|0|0|0|0|0|0|0|0|0|0|0|JJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJ
026|FL        |00|***|                    |        Flash an/aus|                    Flash-Signal an-/ausschalten|1|0|0|0|0|0|0|0|0|0|0|0|0|JJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJ
027|NON       |00|***|                    |            Non-Stop|                             Non-Stop aktivieren|1|0|0|0|0|0|0|0|0|0|0|0|0|JJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJ
028|V         |00|***|                    |             Version|               Aktuelle Programmversion anzeigen|1|0|0|0|0|0|0|0|0|0|0|0|0|JJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJ
029|A         |00|***|                    | Area zeigen/starten|Area's anzeigen oder aufrufen         [area] [*]|1|0|0|0|0|0|0|0|0|0|0|0|0|JJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJ
029|SE        |00|***|                    | Area zeigen/starten|Sectoren anzeigen oder aufrufen     [Sector] [*]|1|0|0|0|0|0|0|0|0|0|0|0|0|JJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJ
030|PM        |00|***|                    |  Ins Postfach gehen|          Das Postfach starten (Brett verlassen)|1|0|0|0|0|0|0|0|0|0|0|0|0|JJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJ
030|POST      |02|***|                    |    Postfach starten|      In das Postfach wechseln (Brett verlassen)|1|0|0|0|0|0|0|0|0|0|0|0|0|JJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJ
031|ALL       |00|002|                    | Alle Bretter zeigen|          Zeigt alle Bretter aus allen Area's an|1|0|0|0|0|0|0|0|0|0|0|0|0|JJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJ
031|B         |00|***|                    |      Bretter suchen|Bretter aufrufen oder Liste zeigen   [parameter]|1|0|0|0|0|0|0|0|0|0|0|0|0|JJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJ
031|CD        |00|***|                    |      Brett aufrufen|Wie B-Befehl (Brettauswahl/-aufruf)  [parameter]|1|0|0|0|0|0|0|0|0|0|0|0|0|JJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJ
031|DIR       |00|001|                    |    Bretter anzeigen|          Brettliste der aktuellen Area anzeigen|1|0|0|0|0|0|0|0|0|0|0|0|0|JJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJ
032|S         |10|***|                    |           Schreiben|Nachricht schreiben (Brett o. Post)   [username]|1|0|0|0|0|0|0|0|0|0|0|0|0|JJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJ
032|SEND      |20|***|                    |           Schreiben|Nachricht schreiben (Brett o. Post)   [username]|1|0|0|0|0|0|0|0|0|0|0|0|0|JJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJ
033|OP        |00|***|                    |         Sysop-Rufen|              Sysop rufen (Sysop-Chat anfordern)|1|0|0|0|0|0|0|0|0|0|0|0|0|JJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJ
033|SYSOP     |00|***|                    |         Sysop rufen|       Sysop rufen und zum Sysop-Chat auffordern|1|0|0|0|0|0|0|0|0|0|0|0|0|JJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJ
034|SUP       |95|***|>G5_SYS:BEFEHL.USER<|Superuser aktivieren|             Superuser aktivieren / deaktivieren|2|0|0|0|0|0|0|0|1|0|0|0|0|JJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJ
035|ERB       |50|001|                    | Rundbrief mit Best.|   Rundbrief mit Empfangsbestätigung verschicken|1|0|0|0|0|0|0|0|0|0|0|0|1|JJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJ
035|RB        |50|***|                    | Rundbrief versenden|                           Rundbrief verschicken|1|0|0|0|0|0|0|0|0|0|0|0|1|JJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJ
036|DOS       |99|***|>G5_SYS:BEFEHL.USER<|          Online-CLI|                              Online-CLI starten|2|1|0|0|0|1|1|1|1|1|1|0|1|JJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJ
037|WARTUNG   |99|***|>G5_SYS:BEFEHL.USER<|      System-Wartung|          Wartung des Systems (Up-/Download/DOS)|2|1|0|0|0|1|1|1|1|1|1|0|1|JJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJ
038|EXT       |99|***|>G5_SYS:BEFEHL.USER<|   Externe Kommandos|Externes Kommando ausfuehren          [kommando]|2|1|0|0|0|1|1|1|1|1|1|0|1|JJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJ
038|EXTCHK    |99|001|>G5_SYS:BEFEHL.USER<|EXTERN mit Zusatzfkt|      EXT mit Auswertung STATUS (CLI) für Reboot|0|1|1|1|1|1|1|1|1|1|1|1|1|JJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJ
039|R         |00|***|                    |      Rufe Brett auf|Brettaufruf mit Frage                [parameter]|1|0|0|0|0|0|0|0|0|0|0|0|0|JJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJ
040|E         |00|***|                    |                Ende|        Rueckkehr ins Postfach / Ende Verbindung|1|0|0|0|0|0|0|0|0|0|0|0|0|JJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJ
041|ZE        |00|***|                    |     Zeit einstellen|Uhrzeit fuer Scanner neu einstellen      [mm:ss]|1|0|0|0|0|0|0|0|0|0|0|0|0|JJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJ
042|DA        |00|***|                    |        Datum setzen|Datum fuer Scanner setzen           [TT.MM.JJJJ]|1|0|0|0|0|0|0|0|0|0|0|0|0|JJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJ
045|C         |00|CHT|                    |           Chat-Menu|             Chat-Menu aufrufen (MSG, Chat usw.)|1|0|0|0|0|0|0|0|0|0|0|0|0|JJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJ
045|M         |00|***|                    |         Menu-System|Menu-System starten (Befehlssteuerung verlassen)|1|0|0|0|0|0|0|0|0|0|0|0|0|JJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJ
045|SYS       |00|INF|                    |       System-Info's|        Info's über die Box, Hardware und System|1|0|0|0|0|0|0|0|0|0|0|0|0|JJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJ
046|HANGMAN   |20|001|                    |             Hangman|Online-Spiel Hangman (allgemeine Worte) starten!|1|0|0|0|0|0|0|0|0|0|0|0|0|JJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJ
046|SP        |20|***|                    |    Spiel auswaehlen|Online-Spiele anzeigen und auswaehlen   [nummer]|1|0|0|0|0|0|0|0|0|0|0|0|0|JJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJ
047|CRU       |95|***|                    |         Crunch User|User crunchen                          [-j] [-n]|1|1|0|0|0|0|0|0|0|0|0|0|0|JJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJ
048|SIG       |02|***|                    |    Signum erstellen|Signum erstellen oder ansehen         [username]|1|0|0|0|0|0|0|0|0|0|0|0|0|JJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJ
049|VK        |20|***|                    |        Visitenkarte|Visitenkarten anlegen / anzeigen      [username]|1|0|0|0|0|0|0|0|0|0|0|0|0|JJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJ
050|MSG       |02|***|                    |       MSG schreiben|MSG schreiben       [-an] [-aus] [-stop] [-teil]|1|0|0|0|0|0|0|0|0|0|0|0|0|JJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJ
050|MSGALL    |02|ALL|                    |MSG an alle (Online)|        MSG an alle User, die gerade Online sein|1|0|0|0|0|0|0|0|0|0|0|0|0|JJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJ
050|MSGAN     |02| AN|                    |     MSG einschalten|                  Den Empfang von MSG anschalten|1|0|0|0|0|0|0|0|0|0|0|0|0|JJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJ
050|MSGAUS    |02|AUS|                    |     MSG-Empfang aus|                         MSG-Empfang ausschalten|1|0|0|0|0|0|0|0|0|0|0|0|0|JJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJ
050|MSGLOG    |02|LOG|                    |MSG bei Login senden|         MSG senden wenn ein neuer User einloggt|1|0|0|0|0|0|0|0|0|0|0|0|0|JJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJ
